Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,,source_csv_row,reject_reason
Mercedes-Benz,GTR Pro,,2020,,3650,577,516,556.7,6.6,84.1,115,27.5,111.6,T1 ,FALSE,,FALSE,,FALSE,FALSE,292,row 292: Model 'GTR Pro' does not match any model key/name for make 'mercedes_benz'
Mercedes-Benz Benz,e500 Wagon,,2006,2006,4231,302,339,314.3,13.5,54.8,60,0,54.8,T4 ,FALSE,,FALSE,,FALSE,FALSE,293,row 293: unknown Make 'Mercedes-Benz Benz' (not in makes_and_models.json)
Mercedes-Benz-Benz,CLK 55 AMG,,2002,2002,3500,345,376,355.3,9.8,70.1,70,5,75.1,T2,FALSE,,FALSE,,FALSE,FALSE,294,row 294: unknown Make 'Mercedes-Benz-Benz' (not in makes_and_models.json)
Mercedes-Benz-Benz,SLS AMG,,2011,,3600,363,480,402,9,73.9,85,12.5,86.4,T2,FALSE,,FALSE,,FALSE,FALSE,295,row 295: unknown Make 'Mercedes-Benz-Benz' (not in makes_and_models.json)
MG,Midget,,1971,1971,1701,54,67,58.3,29.2,-11.9,45,-7.5,-19.4,T5 ,FALSE,,FALSE,,FALSE,FALSE,296,row 296: unknown Make 'MG' (not in makes_and_models.json)
Mini,JCW GP,,2013,2013,2624,211,207,209.7,12.5,58.8,80,10,68.8,T3,FALSE,,FALSE,,FALSE,FALSE,302,row 302: Model 'JCW GP' does not match any model key/name for make 'mini'
Mitsubishi,Lander Evo X,,2008,,3527,295,311,300.3,11.7,62.1,85,12.5,74.6,T3,FALSE,,FALSE,,FALSE,FALSE,314,row 314: Model 'Lander Evo X' does not match any model key/name for make 'mitsubishi'
Nissan,400Z,,2023,,3400,400,350,383.3,8.9,74.3,80,10,84.3,T2,FALSE,,FALSE,,FALSE,FALSE,328,row 328: Model '400Z' does not match any model key/name for make 'nissan'
Nissan,Skyline GT-R (R32),,1989,1991,3152,276,266,272.7,11.6,62.9,70,5,67.9,T3,FALSE,,FALSE,,FALSE,FALSE,339,row 339: Model 'Skyline GT-R (R32)' does not match any model key/name for make 'nissan'
Nissan,Skyline GT-R (R33),,1993,1998,3373,276,266,272.7,12.4,59.4,75,7.5,66.9,T3,FALSE,,FALSE,,FALSE,FALSE,340,row 340: Model 'Skyline GT-R (R33)' does not match any model key/name for make 'nissan'
Nissan,Skyline GT-R (R34),,1999,2002,3386,276,266,272.7,12.4,59.2,85,12.5,71.7,T3,FALSE,,FALSE,,FALSE,FALSE,341,row 341: Model 'Skyline GT-R (R34)' does not match any model key/name for make 'nissan'
Porsche,912,,1967,1967,2315,86,98,90,25.7,2.7,40,-10,-7.3,T5 ,FALSE,,FALSE,,FALSE,FALSE,350,row 350: Model '912' does not match any model key/name for make 'porsche'
Porsche,930,,1983,1983,2668,300,304,301.3,8.9,74.4,70,5,79.4,T2,,,,,,,351,row 351: Model '930' does not match any model key/name for make 'porsche'
Porsche,718 GT4 RS,,2025,2025,3227,493,331,439,7.4,80.8,95,17.5,98.3,T1 ,,,,,,,355,row 355: Model '718 GT4 RS' does not match any model key/name for make 'porsche'
Porsche,914-6 GT,,1973,1973,2200,130,131,130.3,16.9,40.3,70,5,45.3,T4 ,FALSE,,FALSE,,FALSE,FALSE,379,row 379: Model '914-6 GT' does not match any model key/name for make 'porsche'
Porsche,Carrera (997),,2005,2008,3075,325,273,307.7,10,69.5,80,10,79.5,T2,FALSE,,FALSE,,FALSE,FALSE,397,row 397: Model 'Carrera (997)' does not match any model key/name for make 'porsche'
Porsche,Carrera GT,,2004,2007,3000,612,435,553,5.4,88.9,90,15,103.9,T1 ,FALSE,,FALSE,,FALSE,FALSE,398,row 398: Model 'Carrera GT' does not match any model key/name for make 'porsche'
Saleen,S7,,2000,2004,2750,500,525,508.3,5.4,89,95,17.5,106.5,T1 ,FALSE,,FALSE,,FALSE,FALSE,416,row 416: unknown Make 'Saleen' (not in makes_and_models.json)
Saleen,S7 Twin Turbo,,2005,2009,2950,750,700,733.3,4,94.9,95,17.5,112.4,T1 ,FALSE,,FALSE,,FALSE,FALSE,417,row 417: unknown Make 'Saleen' (not in makes_and_models.json)
Scion,FR-S,,2013,2016,2758,200,151,183.7,15,48.2,70,5,55.1,T4 ,FALSE,,FALSE,,FALSE,FALSE,418,row 418: unknown Make 'Scion' (not in makes_and_models.json)
Scion,tC,,2005,2010,2970,160,163,161,18.4,33.6,60,0,33.6,T5 ,FALSE,,FALSE,,FALSE,FALSE,419,row 419: unknown Make 'Scion' (not in makes_and_models.json)
